,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,datetimeYear,datetimeMonth,datetimeWeek,datetimeDay,datetimeDayofweek,datetimeDayofyear,datetimeIs_month_end,datetimeIs_month_start,datetimeIs_quarter_end,datetimeIs_quarter_start,datetimeIs_year_end,datetimeIs_year_start,datetimeElapsed
5443,1,0,0,2,18.04,21.97,67,16.9979,10,61,2012,1,52,1,6,1,False,True,False,True,False,True,1325451600.0
5444,1,0,0,1,18.86,22.725,55,27.9993,13,53,2012,1,52,1,6,1,False,True,False,True,False,True,1325455200.0
5445,1,0,0,1,18.04,21.97,51,19.9995,4,25,2012,1,52,1,6,1,False,True,False,True,False,True,1325458800.0
5446,1,1,0,1,16.4,20.455,40,31.0009,8,31,2012,1,1,2,0,2,False,False,False,False,False,False,1325462400.0
5447,1,1,0,1,14.76,16.665,43,27.9993,1,11,2012,1,1,2,0,2,False,False,False,False,False,False,1325466000.0
5448,1,1,0,1,14.76,15.91,34,30.0026,1,6,2012,1,1,2,0,2,False,False,False,False,False,False,1325469600.0
5449,1,1,0,1,11.48,12.88,45,22.0028,0,4,2012,1,1,2,0,2,False,False,False,False,False,False,1325476800.0
5450,1,1,0,1,11.48,12.88,45,22.0028,1,3,2012,1,1,2,0,2,False,False,False,False,False,False,1325480400.0
5451,1,1,0,1,10.66,11.365,41,26.0027,0,14,2012,1,1,2,0,2,False,False,False,False,False,False,1325484000.0
5452,1,1,0,1,9.84,10.605,32,26.0027,0,16,2012,1,1,2,0,2,False,False,False,False,False,False,1325487600.0
5453,1,1,0,1,9.84,11.365,35,16.9979,2,51,2012,1,1,2,0,2,False,False,False,False,False,False,1325491200.0
5454,1,1,0,1,9.84,12.88,35,0.0,15,53,2012,1,1,2,0,2,False,False,False,False,False,False,1325494800.0
5455,1,1,0,1,10.66,12.12,35,19.0012,20,89,2012,1,1,2,0,2,False,False,False,False,False,False,1325498400.0
5456,1,1,0,1,10.66,10.605,35,32.9975,33,142,2012,1,1,2,0,2,False,False,False,False,False,False,1325502000.0
5457,1,1,0,1,11.48,13.635,36,16.9979,41,161,2012,1,1,2,0,2,False,False,False,False,False,False,1325505600.0
5458,1,1,0,1,12.3,13.635,36,19.9995,26,150,2012,1,1,2,0,2,False,False,False,False,False,False,1325509200.0
5459,1,1,0,1,12.3,13.635,36,27.9993,10,141,2012,1,1,2,0,2,False,False,False,False,False,False,1325512800.0
5460,1,1,0,1,11.48,12.12,38,30.0026,29,139,2012,1,1,2,0,2,False,False,False,False,False,False,1325516400.0
5461,1,1,0,1,10.66,11.365,35,27.9993,10,144,2012,1,1,2,0,2,False,False,False,False,False,False,1325520000.0
5462,1,1,0,1,10.66,11.365,35,26.0027,17,136,2012,1,1,2,0,2,False,False,False,False,False,False,1325523600.0
5463,1,1,0,1,10.66,12.12,33,16.9979,13,113,2012,1,1,2,0,2,False,False,False,False,False,False,1325527200.0
5464,1,1,0,1,9.84,11.365,38,15.0013,4,89,2012,1,1,2,0,2,False,False,False,False,False,False,1325530800.0
5465,1,1,0,1,9.84,11.365,41,15.0013,5,83,2012,1,1,2,0,2,False,False,False,False,False,False,1325534400.0
5466,1,1,0,2,9.84,10.605,41,22.0028,3,63,2012,1,1,2,0,2,False,False,False,False,False,False,1325538000.0
5467,1,1,0,2,9.02,10.605,44,19.0012,3,36,2012,1,1,2,0,2,False,False,False,False,False,False,1325541600.0
5468,1,1,0,1,9.02,10.605,44,16.9979,2,32,2012,1,1,2,0,2,False,False,False,False,False,False,1325545200.0
5469,1,0,1,1,8.2,9.85,51,16.9979,0,13,2012,1,1,3,1,3,False,False,False,False,False,False,1325548800.0
5470,1,0,1,1,7.38,9.09,55,15.0013,1,5,2012,1,1,3,1,3,False,False,False,False,False,False,1325552400.0
5471,1,0,1,1,7.38,8.335,51,16.9979,0,3,2012,1,1,3,1,3,False,False,False,False,False,False,1325556000.0
5472,1,0,1,1,6.56,6.82,55,19.0012,0,2,2012,1,1,3,1,3,False,False,False,False,False,False,1325559600.0
5473,1,0,1,1,6.56,7.575,55,16.9979,0,5,2012,1,1,3,1,3,False,False,False,False,False,False,1325563200.0
5474,1,0,1,1,5.74,6.82,54,12.998,0,12,2012,1,1,3,1,3,False,False,False,False,False,False,1325566800.0
5475,1,0,1,1,5.74,6.06,59,19.0012,4,81,2012,1,1,3,1,3,False,False,False,False,False,False,1325570400.0
5476,1,0,1,1,5.74,6.06,59,16.9979,2,168,2012,1,1,3,1,3,False,False,False,False,False,False,1325574000.0
5477,1,0,1,1,6.56,6.82,55,19.0012,5,349,2012,1,1,3,1,3,False,False,False,False,False,False,1325577600.0
5478,1,0,1,1,6.56,6.82,50,19.0012,8,145,2012,1,1,3,1,3,False,False,False,False,False,False,1325581200.0
5479,1,0,1,1,6.56,6.06,47,31.0009,5,55,2012,1,1,3,1,3,False,False,False,False,False,False,1325584800.0
